name,category,subcategory,color,pattern,material,occasion_tags,season_tags,brand,purchased_at
Navy wool trousers,bottom,pants,navy,solid,wool,business|formal,fall|winter,Banana Republic,2022-04
Charcoal dress pants,bottom,pants,charcoal,solid,polyester,business|formal,all-season,Everlane,2023-06
Black tailored trousers,bottom,pants,black,solid,wool,business|formal,all-season,Reformation,2022-06
Light gray chinos,bottom,pants,gray,solid,cotton,casual|smart-casual,spring|summer,Anthropologie,2024-03
Beige linen pants,bottom,pants,beige,solid,linen,casual|smart-casual,spring|summer,Vince,2023-06
Dark wash jeans,bottom,jeans,blue,solid,denim,casual|weekend,all-season,Banana Republic,2022-07
Light wash jeans,bottom,jeans,light blue,solid,denim,casual|weekend,spring|summer,,2022-03
White cotton trousers,bottom,pants,white,solid,cotton,smart-casual|summer,spring|summer,,2024-01
Olive green chinos,bottom,pants,olive,solid,cotton,casual|smart-casual,fall|spring,,2024-11
Burgundy corduroy pants,bottom,pants,burgundy,corduroy,cotton,casual|fall,fall|winter,H&M,2024-12
Camel wide-leg trousers,bottom,pants,camel,solid,wool,smart-casual|business,fall|winter,Madewell,2023-10
Navy joggers,bottom,pants,navy,solid,cotton,casual|weekend,all-season,Vince,2023-10
Black joggers,bottom,pants,black,solid,cotton,casual|weekend,all-season,Zara,2022-04
Plaid wool trousers,bottom,pants,gray,plaid,wool,business|smart-casual,fall|winter,J.Crew,2022-11
Stone colored chinos,bottom,pants,stone,solid,cotton,casual|smart-casual,spring|summer,Gap,2022-09
Midnight blue dress pants,bottom,pants,midnight blue,solid,wool,business|formal,all-season,Zara,2023-10
Brown corduroy pants,bottom,pants,brown,corduroy,cotton,casual,fall|winter,Nordstrom,2024-12
Gray flannel trousers,bottom,pants,gray,solid,wool,business|smart-casual,fall|winter,Nordstrom,2023-10
White linen pants,bottom,pants,white,solid,linen,casual|smart-casual,spring|summer,Banana Republic,2023-04
Black skinny jeans,bottom,jeans,black,solid,denim,casual|weekend,all-season,Uniqlo,2022-11
Navy midi skirt,bottom,skirt,navy,solid,wool,business|formal,fall|winter,& Other Stories,2022-01
Black pencil skirt,bottom,skirt,black,solid,polyester,business|formal,all-season,AllSaints,2024-04
Pleated midi skirt,bottom,skirt,gray,pleated,polyester,business|smart-casual,all-season,,2022-06
Floral midi skirt,bottom,skirt,multi,floral,cotton,casual|spring,spring|summer,,2025-03
Denim A-line skirt,bottom,skirt,blue,solid,denim,casual|weekend,spring|summer,Zara,2024-01
Camel wrap skirt,bottom,skirt,camel,solid,wool,smart-casual|business,fall|winter,Gap,2022-05
White cotton skirt,bottom,skirt,white,solid,cotton,casual|smart-casual,spring|summer,,2022-01
Black leather skirt,bottom,skirt,black,solid,leather,smart-casual|evening,fall|winter,J.Crew,2023-09
Burgundy midi skirt,bottom,skirt,burgundy,solid,wool,smart-casual|business,fall|winter,,2024-05
Plaid mini skirt,bottom,skirt,multi,plaid,wool,casual|fall,fall|winter,AllSaints,2022-07
White Oxford shirt,top,shirt,white,solid,cotton,business|formal,all-season,Theory,2022-03
Light blue dress shirt,top,shirt,light blue,solid,cotton,business|formal,all-season,Nordstrom,2022-06
Pink dress shirt,top,shirt,pink,solid,cotton,business|smart-casual,all-season,Rag & Bone,2022-10
Striped Breton top,top,shirt,navy,striped,cotton,casual|smart-casual,all-season,Madewell,2022-09
Black silk blouse,top,blouse,black,solid,silk,business|formal,all-season,J.Crew,2022-02
White silk blouse,top,blouse,white,solid,silk,business|formal,all-season,,2023-07
Cream silk blouse,top,blouse,cream,solid,silk,business|smart-casual,all-season,Uniqlo,2024-04
Chambray shirt,top,shirt,blue,solid,cotton,casual|smart-casual,spring|summer,COS,2025-01
Denim shirt,top,shirt,blue,solid,denim,casual|weekend,all-season,Theory,2024-07
White linen shirt,top,shirt,white,solid,linen,casual|smart-casual,spring|summer,J.Crew,2023-05
Gray t-shirt,top,t-shirt,gray,solid,cotton,casual|weekend,all-season,COS,2024-07
Black t-shirt,top,t-shirt,black,solid,cotton,casual|weekend,all-season,Zara,2022-03
White t-shirt,top,t-shirt,white,solid,cotton,casual|weekend,spring|summer,Gap,2023-08
Navy t-shirt,top,t-shirt,navy,solid,cotton,casual|weekend,all-season,Banana Republic,2023-10
Striped cotton tee,top,t-shirt,navy,striped,cotton,casual|weekend,spring|summer,& Other Stories,2024-10
Black turtleneck,top,turtleneck,black,solid,wool,business|smart-casual,fall|winter,Nordstrom,2024-07
Gray turtleneck,top,turtleneck,gray,solid,wool,business|smart-casual,fall|winter,Reformation,2023-02
Camel turtleneck,top,turtleneck,camel,solid,wool,smart-casual|casual,fall|winter,Nordstrom,2025-03
White button-down,top,shirt,white,solid,cotton,business|smart-casual,all-season,Nordstrom,2024-10
Navy polka dot blouse,top,blouse,navy,polka dot,silk,smart-casual|casual,all-season,Madewell,2025-01
Burgundy blouse,top,blouse,burgundy,solid,silk,business|smart-casual,fall|winter,,2023-09
Olive blouse,top,blouse,olive,solid,cotton,casual|smart-casual,spring|fall,Banana Republic,2022-01
Floral blouse,top,blouse,multi,floral,cotton,casual|spring,spring|summer,J.Crew,2024-02
Black tank top,top,tank,black,solid,cotton,casual|weekend,spring|summer,Reformation,2024-09
White tank top,top,tank,white,solid,cotton,casual|weekend,spring|summer,AllSaints,2024-04
Gray henley,top,henley,gray,solid,cotton,casual|weekend,all-season,,2024-11
Navy henley,top,henley,navy,solid,cotton,casual|weekend,all-season,,2025-03
